movie_name,Year,Age,Duration(minutes),Ratings,Gross Profit($M),Votes
All Is Lost,2013,15,106,6.9,6.26,"82,971"
Dancing at the Blue Iguana,2000,15,123,5.7,0.03,"4,089"
Snowpiercer,2013,15,126,7.1,4.56,"380,549"
Michael Kohlhaas,2013,15,122,6.1,2.46,"9,003"
The Grand Budapest Hotel,2014,15,99,8.1,59.1,"865,027"
Enough Said,2013,15,93,7,17.54,"65,430"
300: Rise of an Empire,2014,15,102,6.2,106.58,"311,941"
13 Sins,2014,12,93,6.3,0.01,"38,494"
Police Story: Lockdown,2013,15,110,5.9,2.46,"10,477"
The Fifth Estate,2013,18,128,6.2,3.25,"42,344"
Narco Cultura,2013,15,103,7.2,0.14,"2,484"
Austenland,2013,12,97,6.3,2.15,"22,813"
Cutie and the Boxer,2013,12,82,7.2,0.2,"4,723"
In Fear,2013,15,85,5.4,2.46,"10,022"
Reasonable Doubt,2014,12,91,5.7,2.46,"20,579"
A Birder's Guide to Everything,2013,18,86,6.2,2.46,"2,373"
Jimmy P.,2013,15,117,6.1,0.02,"3,068"
Girl Rising,2013,15,101,7.2,2.46,"1,270"
Knights of Badassdom,2013,15,86,5.6,0.09,"21,298"
The Patience Stone,2012,15,102,7.1,0.15,"5,399"
The Armstrong Lie,2013,15,124,7.3,0.38,"7,825"
Better Living Through Chemistry,2014,15,91,6.2,0.07,"15,528"
One Chance,2013,15,103,6.8,0.09,"12,975"
In Search of a Midnight Kiss,2007,15,90,7.2,0.17,"8,342"
Veronica Mars,2014,15,107,6.7,3.32,"54,238"
A Warrior's Heart,2011,12,86,5.2,2.46,"2,484"
Andre Gregory: Before and After Dinner,2013,15,108,6.4,2.46,92
The Immigrant,2013,15,120,6.6,2.01,"33,273"
Le Week-End,2013,15,93,6.4,2.22,"8,642"
Shotgun Stories,2007,18,92,7.1,0.05,"11,089"
Reconstruction,2003,15,92,7.3,0.07,"7,570"
The Invisible Woman,2013,15,111,6.1,1.23,"10,318"
Phantom of the Paradise,1974,12,91,7.3,0.16,"21,643"
Blood Ties,2013,12,127,6.5,0.04,"20,827"
Yves Saint Laurent: 5 avenue Marceau 75116 Paris,2002,15,85,5.8,2.46,77
Yves Saint Laurent,2014,15,106,6.2,0.72,"12,832"
Before Tomorrow,2008,18,93,6.8,2.46,200
The Carrier,2014,15,108,5.2,0.05,"16,943"
Flicka,2006,15,95,6,21,"8,385"
Herblock: The Black & the White,2013,15,95,7.5,2.46,148
Ghost in the Shell,1995,15,83,7.9,0.52,"152,571"
My Way,2011,15,137,7.6,0.07,"12,394"
Ghost in the Shell 2: Innocence,2004,15,100,7.4,1.04,"39,816"
Sanctum,2011,15,108,5.9,23.07,"56,863"
Bucky Larson: Born to Be a Star,2011,15,97,3.3,2.33,"12,673"
Formosa Betrayed,2009,18,103,6.1,0.23,"1,496"
The Railway Man,2013,15,116,7.1,4.44,"42,093"
The Road to Guantanamo,2006,15,95,7.4,0.32,"11,440"
The Returned,2013,15,98,5.9,2.46,"8,698"
Grand Central,2013,12,94,6.2,2.46,"2,790"
Saving Mr. Banks,2013,15,125,7.5,83.3,"168,055"
Ichi the Killer,2001,12,120,7,0.02,"59,079"
Teza,2008,12,140,7.1,2.46,608
Jodorowsky's Dune,2013,15,90,8,0.65,"26,398"
All About Lily Chou-Chou,2001,12,146,7.5,0.02,"10,569"
The Last Mistress,2007,15,115,6.2,0.79,"3,717"
Tokarev,2014,15,98,5,2.46,"25,227"
Loves Her Gun,2013,12,99,4.9,2.46,299
RoboCop,2014,15,117,6.1,58.61,"236,708"
North Face,2008,15,126,7.4,0.71,"16,243"
The Machine,2013,15,91,6,2.46,"31,901"
Gimme Shelter,2013,15,120,6.4,1.36,"9,266"
Escape from Planet Earth,2012,15,89,5.8,57.01,"26,569"
The German Doctor,2013,15,93,6.7,0.41,"7,686"
Black Nativity,2013,15,93,4.8,7.02,"2,328"
Tinker Bell and the Pirate Fairy,2014,15,78,6.6,2.46,"14,317"
Lone Survivor,2013,15,121,7.5,125.1,"300,953"
Lake Tahoe,2008,15,89,6.6,0.01,"1,751"
Over the Hedge,2006,18,83,6.7,155.02,"186,231"
The Monuments Men,2014,15,118,6.1,78.03,"137,436"
The Singing Detective,2003,15,109,5.4,0.34,"8,869"
Blue Ruin,2013,15,90,7.1,0.26,"77,638"
Pompeii,2014,12,105,5.5,23.22,"115,099"
3 Days to Kill,2014,15,117,6.2,30.7,"96,652"
The Tree,2010,15,100,6.5,0.07,"4,665"
Mindscape,2013,15,99,6.4,0,"24,813"
Lost in La Mancha,2002,15,93,7.3,0.73,"11,926"
Seven Days in Utopia,2011,12,100,6.1,18,"4,020"
The Sacrament,2013,18,99,6.1,0.01,"20,517"
Walk of Shame,2014,15,95,6,0.04,"56,468"
Kal Ho Naa Ho,2003,15,186,7.9,1.79,"73,502"
Walkabout,1971,15,100,7.6,0.02,"26,870"
About Elly,2009,15,119,7.9,0.11,"56,198"
Adult World,2013,15,97,6.1,0.02,"18,453"
Chelsea Walls,2001,15,109,4.8,0.06,"2,206"
El Bola,2000,15,88,7.3,2.46,"6,832"
Jean-Michel Basquiat: The Radiant Child,2010,12,88,7.7,0.26,"2,449"
The Taste of Tea,2004,15,143,7.6,2.46,"7,046"
The Legend of Hercules,2014,15,99,4.2,18.85,"55,612"
Barefoot,2014,12,90,6.5,0.01,"26,725"
Jack Ryan: Shadow Recruit,2014,12,105,6.2,50.58,"136,755"
Vampire Academy,2014,15,104,5.4,7.79,"56,374"
Goodbye World,2013,15,99,5.4,2.46,"7,256"
In the Blood,2014,12,108,5.7,2.46,"12,918"
Small Time,2014,15,104,6,2.46,"1,492"
Hateship Loveship,2013,15,104,6.1,0.05,"7,111"
A New York Winter's Tale,2014,15,118,6.1,0.02,"56,129"
Enemy,2013,18,91,6.9,1.01,"208,290"
Dom Hemingway,2013,15,93,6.1,0.52,"27,432"
Heli,2013,15,105,6.8,2.46,"5,324"
Decoding Annie Parker,2013,15,91,6.2,0.04,"3,287"
Honour,2014,12,104,6,2.46,"1,089"
Joe,2013,12,117,6.8,0.37,"50,582"
The Rocket,2013,12,100,7.3,2.46,"3,172"
The Devil's Violinist,2013,15,122,6,2.46,"3,777"
Garbo: El espía,2009,15,88,7.2,0.03,643
The Oregonian,2011,15,81,4.1,2.46,767
Aurora,2010,12,181,6.5,2.46,"2,047"
City of Men,2007,15,106,7.2,0.31,"16,141"
Frankenstein's Army,2013,15,84,5.4,2.46,"9,036"
Mr. Jones,2013,15,84,4.6,2.46,"4,353"
Instructions Not Included,2013,15,115,7.5,44.47,"32,244"
The Rules of Attraction,2002,15,110,6.6,6.53,"52,870"
Blood & Chocolate,2007,12,98,5.3,3.53,"18,162"
47 Ronin,2013,12,128,6.2,38.36,"168,437"
The Silence,2010,18,118,7,0.1,"7,905"
Salvo,2013,15,110,5.9,2.46,"1,312"
Snow Flower and the Secret Fan,2011,15,104,6.1,1.35,"3,961"
"Like Father, Like Son",2013,15,121,7.8,0.28,"27,248"
Endless Love,2014,15,104,6.2,23.39,"47,092"
Nobody Knows,2004,15,141,8,0.68,"30,306"
Terraferma,2011,12,88,6.7,2.46,"3,185"
Non-Stop,2014,12,106,6.9,92.17,"273,983"
Oculus,2013,15,104,6.5,27.7,"137,381"
Breathe In,2013,12,98,6.3,0.02,"15,508"
End of the Spear,2005,15,108,6.7,11.97,"5,431"
The Double,2013,12,93,6.5,0.2,"52,452"
Edge of Tomorrow,2014,15,113,7.9,100.21,"718,442"
Noah,2014,15,138,5.8,101.2,"263,415"
Divergent,2014,15,139,6.6,150.95,"479,685"
Grace of Monaco,2014,15,103,5.7,2.46,"20,932"
Cesar Chavez,2014,15,102,6.4,5.55,"3,575"
Bright Days Ahead,2013,15,94,6.3,0.01,"1,843"
Under the Skin,2013,15,108,6.3,2.61,"153,313"
Draft Day,2014,15,110,6.8,28.83,"65,071"
Tracks,2013,15,112,7.1,0.51,"31,165"
When You're Strange,2009,15,86,7.6,0.24,"10,165"
Belle,2013,15,100,7.3,10.73,"32,628"
Frontera Norte,2014,15,103,6.6,0.06,"8,331"
Sabotage,2014,18,109,5.7,10.51,"65,562"
Rob the Mob,2014,18,104,6.3,0.21,"11,621"
Very Good Girls,2013,15,91,5.9,2.46,"16,215"
Devil's Knot,2013,12,114,6.1,2.46,"23,390"
X-Men: Days of Future Past,2014,15,132,7.9,233.92,"734,897"
Need for Speed,2014,15,132,6.4,43.58,"176,603"
Transcendence,2014,15,119,6.2,23.02,"236,434"
Keep the Lights On,2012,12,101,6.4,0.25,"6,051"
The Fault in Our Stars,2014,15,126,7.7,124.87,"394,456"
Human Capital,2013,15,111,7.2,0.16,"13,277"
The Other Woman,2014,15,109,6,83.91,"147,747"
Oh Boy!,2012,15,86,7.3,0.15,"17,273"
The Amazing Spider-Man 2,2014,12,142,6.6,202.85,"526,293"
Godzilla,2014,12,123,6.4,200.68,"429,753"
The Face of Love,2013,18,92,6.2,0.31,"5,839"
The Purge: Anarchy,2014,13,103,6.4,71.96,"159,927"
Starred Up,2013,15,106,7.3,0.03,"48,115"
The Rover,2014,18,103,6.4,1.11,"50,471"
The Prince,2014,15,93,4.6,2.46,"19,071"
Welcome to New York,2014,15,125,5.6,2.46,"3,957"
The Expendables 3,2014,15,126,6.1,39.32,"193,063"
Closer to the Moon,2014,15,112,6.7,2.46,"4,287"
Philomena,2013,15,98,7.6,37.71,"102,928"
Three Worlds,2012,15,101,6.6,2.46,778
Bastards,2013,18,100,6.1,0.01,"3,663"
Words and Pictures,2013,15,111,6.6,2.17,"11,301"
Begin Again,2013,15,104,7.4,16.17,"164,038"
Chef,2014,15,114,7.3,31.42,"226,653"
Frank,2014,18,95,6.9,0.64,"81,559"
The Giver,2014,15,97,6.4,45.09,"123,643"
The Grand Seduction,2013,15,113,7,3.41,"18,857"
Third Person,2013,15,137,6.3,1.02,"29,057"
The Calling,2014,15,108,5.8,2.46,"9,008"
4 Minute Mile,2014,15,96,6.2,2.46,"3,080"
Maps to the Stars,2014,15,111,6.2,0.35,"42,413"
Felony,2013,15,105,6.1,2.46,"5,767"
The Book Thief,2013,15,131,7.5,21.49,"140,748"
A Million Ways to Die in the West,2014,12,116,6.1,43.14,"195,707"
Bad Neighbours,2014,15,97,6.3,150.16,"324,212"
The Warriors,1979,15,93,7.5,22.49,"108,327"
Shield of Straw,2013,15,117,6.2,2.46,"2,688"
The Two Faces of January,2014,12,96,6.2,0.51,"33,188"
Good People,2014,12,90,5.5,2.46,"17,051"
The Homesman,2014,15,122,6.6,2.43,"34,865"
Open Grave,2013,15,102,6.2,2.46,"30,962"
The November Man,2014,18,108,6.3,24.98,"69,841"
Transformers: Age of Extinction,2014,15,165,5.6,245.44,"327,773"
Beauty and the Beast,2014,15,112,6.4,2.46,"22,056"
Million Dollar Arm,2014,12,124,7,36.45,"47,385"
White Bird in a Blizzard,2014,15,91,6.4,0.03,"29,717"
The Scribbler,2014,18,88,5.3,2.46,"5,099"
A Touch of Sin,2013,15,130,7.1,0.09,"12,516"
Blue Jasmine,2013,15,98,7.3,33.41,"210,319"
Automata,2014,12,109,6,2.46,"58,738"
The French Minister,2013,15,113,6.4,0,"3,885"
The Golden Dream,2013,15,108,7.6,2.46,"5,084"
10.000 Km,2014,12,99,6.6,2.46,"4,776"
A Walk Among the Tombstones,2014,15,114,6.5,26.31,"125,898"
Cold in July,2014,15,109,6.7,0.41,"37,112"
Sin City: A Dame to Kill For,2014,15,102,6.5,13.76,"168,286"
The Secret Life of Walter Mitty,2013,12,114,7.3,58.24,"332,292"
Blow Out,1981,15,108,7.4,13.75,"60,364"
The Zero Theorem,2013,15,107,6,0.22,"49,104"
Bad Land: Road to Fury,2014,15,100,5.8,2.46,"10,219"
Left Behind,2014,15,110,3.1,14,"41,843"
Northern Soul,2014,15,102,6.3,0.01,"4,201"
Dawn of the Planet of the Apes,2014,15,130,7.6,208.55,"459,087"
Whores' Glory,2011,15,110,7.2,0.03,"5,046"
The Judge,2014,18,141,7.4,47.12,"198,828"
Casting By,2012,15,89,7.6,0.01,"1,618"
Stray Dogs,2013,15,138,6.9,2.46,"3,019"
Night Moves,2013,12,112,6.1,0.25,"16,461"
Still the Water,2014,18,121,6.7,2.46,"3,009"
If I Stay,2014,15,107,6.7,50.47,"127,232"
One Hundred Mornings,2009,18,85,5.8,2.46,508
God Help the Girl,2014,15,112,6.4,0.1,"9,176"
"20,000 Days on Earth",2014,12,97,7.4,0.28,"11,852"
Dear Zachary: A Letter to a Son About His Father,2008,12,95,8.5,0.02,"39,598"
In Secret,2013,15,107,6.1,0.42,"9,412"
Starry Eyes,2014,15,98,6,2.46,"21,946"
Miss Meadows,2014,15,88,5.8,2.46,"9,625"
The Hundred-Foot Journey,2014,15,122,7.3,54.24,"86,461"
Ivory Tower,2014,15,90,7,0.1,"1,386"
Lucy,2014,15,89,6.4,126.66,"522,693"
Dracula Untold,2014,15,92,6.2,56.28,"204,612"
Maleficent,2014,15,97,6.9,241.41,"393,906"
Predestination,2014,15,97,7.4,0.07,"296,401"
Is the Man Who Is Tall Happy?: An Animated Conversation with Noam Chomsky,2013,15,88,7.1,0.13,"3,644"
Trust Me,2013,12,90,6.1,2.46,"3,569"
Cantinflas,2014,18,102,6.6,6.37,"4,152"
Jersey Boys,2014,15,134,6.8,47.03,"36,189"
The Longest Week,2014,12,86,5.4,2.46,"13,210"
Hercules,2014,15,98,6,72.69,"162,469"
Annabelle,2014,12,99,5.4,84.27,"171,736"
Manny,2014,12,88,7.1,2.46,"2,317"
The Missing Picture,2013,15,92,7.3,0.05,"3,460"
Labor Day,2013,15,111,6.9,13.36,"50,571"
Kelly & Cal,2014,15,111,6.2,0.01,"2,191"
Jimmy's Hall,2014,12,109,6.7,0.56,"6,818"
St. Vincent,2014,15,102,7.2,44.13,"107,332"
The Guest,2014,15,100,6.7,0.32,"104,727"
The Captive,2014,15,112,5.9,2.46,"35,305"
This Is Where I Leave You,2014,15,103,6.6,34.29,"87,232"
Dying of the Light,2014,15,94,4.5,2.46,"11,266"
Rudderless,2014,15,105,7.4,0.04,"19,270"
The Maze Runner,2014,15,113,6.8,102.43,"495,561"
Magic in the Moonlight,2014,15,97,6.5,10.51,"70,080"
Life Itself,2014,15,121,7.8,0.81,"16,137"
A Hard Day,2014,16,111,7.2,2.46,"15,653"
A Most Wanted Man,2014,15,122,6.7,17.24,"79,171"
Bird People,2014,12,127,6.1,0.01,"3,236"
The Wonders,2014,15,110,6.6,0.07,"5,729"
Fury,2014,18,134,7.6,85.82,"528,835"
Road to Paloma,2014,15,91,6,2.46,"5,416"
Long Live Freedom,2013,15,94,6.9,0.05,"4,675"
Battlefield of Lost Souls,2015,15,96,5.7,2.46,"2,049"
I Origins,2014,15,106,7.3,0.33,"131,344"
Gone Girl,2014,15,149,8.1,167.77,"1,038,574"
"As Above, So Below",2014,12,93,6.2,21.2,"107,524"
The Equalizer,2014,12,132,7.2,101.53,"404,864"
God's Pocket,2014,15,88,6.1,0.1,"12,072"
These Final Hours,2013,12,87,6.6,2.46,"18,541"
Serena,2014,13,109,5.4,0.18,"30,060"
"Two Days, One Night",2014,12,95,7.3,1.44,"50,005"
Horns,2013,15,120,6.4,0.16,"86,937"
Seven Psychopaths,2012,18,110,7.1,15.02,"270,090"
The Raid,2011,15,101,7.6,4.11,"213,741"
The Raid 2,2014,15,150,7.9,2.63,"129,396"
Before I Go to Sleep,2014,15,92,6.3,2.96,"82,892"
Captain America: The Winter Soldier,2014,15,136,7.8,259.77,"883,820"
Gimme the Loot,2012,15,79,6.6,0.1,"2,597"
Stereo,1969,15,65,5.1,2.46,"2,477"
Alive Inside,2014,15,78,8.2,0.15,"3,209"
Coherence,2013,15,89,7.2,0.07,"141,592"
Fast & Furious 6,2013,15,130,7,238.68,"410,901"
Take Care,2014,15,94,6.1,2.46,"3,247"
Goodbye to Language,2014,15,70,5.8,2.46,"6,222"
Murder of a Cat,2014,15,101,5.3,2.46,"1,762"
Sacro Gra,2013,15,95,6.3,2.46,"1,862"
The Smurfs 2,2013,15,105,5.3,71.02,"45,024"
Only Lovers Left Alive,2013,15,123,7.2,1.88,"106,072"
Boyhood,2014,15,165,7.9,25.38,"363,792"
Planes,2013,15,91,5.7,90.29,"47,791"
Jamie Marks Is Dead,2014,12,101,5.5,2.46,"2,722"
Young Adam,2003,12,98,6.4,0.77,"14,509"
About Alex,2014,15,99,6.3,2.46,"7,768"
Two Men in Town,2014,15,117,5.7,2.46,"2,259"
Canopy,2013,15,84,4.9,0.01,"1,148"
Elsa & Fred,2014,18,93,6.5,2.46,"3,662"
Jack and the Cuckoo-Clock Heart,2013,15,94,6.9,2.46,"7,294"
2 Guns,2013,12,109,6.7,75.61,"222,163"
A Good Marriage,2014,18,102,5.3,2.46,"12,401"
The Joker,2014,15,104,6.2,2.46,"8,709"
The Retrieval,2013,15,92,6.6,0.05,"2,721"
The Imitation Game,2014,15,114,8,91.13,"807,794"
Get on Up,2014,15,139,6.9,30.51,"25,764"
Big Hero 6,2014,15,102,7.8,222.53,"489,282"
Love Is Strange,2014,15,94,6.7,2.25,"13,144"
Foxcatcher,2014,12,134,7,12.1,"147,265"
How to Train Your Dragon 2,2014,15,102,7.8,177,"355,652"
The Lego Movie,2014,15,100,7.7,257.76,"380,519"
The Babadook,2014,15,94,6.8,0.92,"241,716"
Going Away,2013,15,95,6.3,0.01,920
Into the Woods,2014,15,125,5.9,128,"146,219"
John Wick,2014,18,101,7.4,43.04,"719,274"
Life of Riley,2014,15,108,6,2.46,"1,355"
Still Alice,2014,12,101,7.5,18.75,"141,500"
Mr. Turner,2014,15,150,6.8,3.96,"26,852"
American Sniper,2014,15,133,7.3,350.13,"517,351"
Nightcrawler,2014,18,117,7.8,32.38,"587,585"
Clouds of Sils Maria,2014,15,124,6.8,1.81,"30,791"
The Book of Life,2014,15,95,7.2,50.15,"76,067"
Whiplash,2014,12,106,8.5,13.09,"944,166"
Birdman or,2014,18,119,7.7,42.34,"655,329"
Interstellar,2014,15,169,8.7,188.02,"2,011,555"
Say When,2014,15,99,6.4,0.44,"45,402"
Life Partners,2014,15,93,6.2,0.01,"9,160"
Pride,2014,15,119,7.8,2.46,"60,620"
Unbroken,2014,15,137,7.2,115.64,"178,860"
Radio Free Albemuth,2010,18,111,5.6,0.01,"1,869"
Suzanne,2013,13,94,6.7,2.46,"1,848"
October Gale,2014,15,91,5.2,2.46,"2,458"
Jimi: All Is by My Side,2013,15,118,5.7,0.32,"6,938"
Everly,2014,15,92,5.1,2.46,"19,169"
The Voices,2014,15,103,6.3,2.46,"61,217"
71,2014,15,99,7.2,1.27,"59,191"
The Gambler,2014,15,111,6,33.68,"72,425"
The Hobbit: The Battle of the Five Armies,2014,15,144,7.4,255.12,"558,816"
The Young and Prodigious T.S. Spivet,2013,12,105,7,0.1,"19,416"
Escobar: Paradise Lost,2014,15,120,6.5,0.11,"23,111"
Son of a Gun,2014,15,108,6.4,0,"29,227"
The Blue Room,2014,15,76,6.3,0.23,"3,616"
The Best of Me,2014,18,118,6.7,26.76,"76,348"
Playing It Cool,2014,15,94,5.9,2.46,"29,664"
Lucky Them,2013,15,97,6.1,0.03,"3,983"
Jauja,2014,15,109,6.3,2.46,"4,471"
The Stag,2013,15,94,6,2.46,"4,450"
Nymphomaniac: Vol. I,2013,18,117,6.9,0.79,"129,468"
Big Eyes,2014,15,106,7,14.48,"97,599"
Nymphomaniac: Vol. II,2013,15,124,6.6,0.33,"96,643"
Shadow Walkers,2013,12,96,5.5,2.46,"8,418"
Delivery Man,2013,15,105,6.3,30.66,"82,061"
Enemy Mine,1985,18,108,6.8,4.27,"50,475"
The Hunger Games: Mockingjay - Part 1,2014,15,123,6.6,337.14,"483,577"
The Tale of the Princess Kaguya,2013,15,137,8,1.51,"51,669"
Ida,2013,15,82,7.4,3.83,"59,941"
Selma,2014,15,128,7.5,52.08,"94,342"
Brick Mansions,2014,12,90,5.6,20.4,"43,683"
The Conjuring,2013,15,112,7.5,137.4,"542,839"
Wild Card,2015,15,92,5.6,0,"58,859"
The Theory of Everything,2014,15,123,7.7,35.89,"473,013"
God's Not Dead,2014,15,113,4.6,60.76,"44,424"
10 Rules for Sleeping Around,2013,15,94,3.6,2.46,"3,006"
The Philosophers,2013,15,107,5.6,2.46,"23,224"
Batman: Mask of the Phantasm,1993,15,76,7.8,5.62,"55,254"
Blended,2014,15,117,6.5,46.29,"140,879"
All the Wilderness,2014,15,85,5.8,2.46,"1,527"
Night at the Museum: Secret of the Tomb,2014,15,98,6.2,113.75,"132,218"
Best Shot,1986,15,114,7.4,28.61,"49,992"
The Green Prince,2014,15,101,7.2,0.26,"2,775"
Cake,2014,15,102,6.4,1.87,"38,533"
That Awkward Moment,2014,15,94,6.1,26.05,"106,274"
"Love, Rosie",2014,15,102,7.1,0.02,"151,705"
Kill the Messenger,2014,15,112,6.9,2.45,"48,342"
My Old Lady,2014,15,107,6.4,4.01,"9,835"
The Hobbit: The Desolation of Smaug,2013,15,161,7.8,258.37,"691,145"
The Water Diviner,2014,15,111,7,4.19,"77,340"
Exodus: Gods and Kings,2014,18,150,6,65.01,"175,185"
Gemma Bovery,2014,15,99,6.4,0.19,"6,745"
The Boxtrolls,2014,18,96,6.8,50.84,"60,711"
Time Traveller,2015,12,109,4.6,2.46,"3,390"
Hellboy II: The Golden Army,2008,15,120,7,75.75,"282,314"
Under the Electric Sky,2014,15,85,6.5,0.2,616
Black Sea,2014,15,114,6.4,1.17,"40,320"
Jupiter Ascending,2015,15,127,5.3,47.39,"192,841"
What We Do in the Shadows,2014,12,86,7.6,3.33,"195,618"
Cronos,1992,15,94,6.7,0.62,"32,559"
Violette,2013,15,139,6.9,2.46,"2,168"
The Last of Robin Hood,2013,15,94,5.7,0.27,"2,377"
Innocence,2013,12,96,4.5,0.29,"1,382"
Miss Julie,1999,15,103,6.2,0.01,"1,612"
Miss Julie,2014,12,129,5.5,2.46,"6,016"
"Men, Women & Children",2014,12,119,6.6,0.46,"33,363"
The Loft,2014,15,108,6.3,5.98,"59,065"
Citizenfour,2014,15,114,8,2.8,"57,355"
Dear White People,2014,12,108,6.2,4.4,"26,371"
Dragon Blade,2015,18,127,5.9,0.07,"20,950"
Little Accidents,2014,12,105,5.8,2.46,"3,815"
Wild Tales,2014,15,122,8.1,3.11,"211,062"
