movie_name,Year,Age,Duration(minutes),Ratings,Gross Profit($M),Votes
The Hunting Ground,2015,15,103,7.4,0.41,"6,444"
Tumbledown,2015,15,105,6.2,0.14,"7,884"
Exposed,2016,15,102,4.3,2.46,"16,500"
Cartel Land,2015,13,100,7.3,0.7,"18,735"
The Brand New Testament,2015,12,114,7.1,0.09,"34,298"
The Wave,2015,15,105,6.6,0.18,"41,631"
The Signal,2014,15,97,6,0.6,"68,398"
Desert Dancer,2014,12,104,6.2,0.14,"2,002"
After the Fall,2014,15,110,5.1,2.46,998
Sand Dollars,2014,15,84,5.9,2.46,544
Klown,2010,12,93,7.1,0.07,"11,491"
Misconduct,2016,12,106,5.3,2.46,"17,460"
Retribution,2014,15,99,6,0.04,"5,609"
Forsaken,2015,12,90,6.4,2.46,"13,472"
Hunting Elephants,2013,15,107,6.3,2.46,"1,140"
"Right Now, Wrong Then",2015,15,121,7.1,2.46,"4,805"
The Fencer,2015,15,99,7.1,0.1,"5,180"
Unconscious,2014,15,90,4.3,2.46,"3,893"
Marguerite,2015,15,129,6.9,0.51,"5,615"
L'attesa,2015,15,100,6.5,0.05,"2,536"
Point Break,2015,15,114,5.3,28.78,"65,390"
Hungry Hearts,2014,15,109,6.4,2.46,"5,791"
Hector and the Search for Happiness,2014,15,120,6.9,1.12,"49,975"
The 5th Wave,2016,15,112,5.2,34.92,"115,262"
Eisenstein in Guanajuato,2015,15,105,6.3,0.03,"3,059"
The Preppie Connection,2015,15,95,6.1,2.46,"3,853"
Jane Got a Gun,2015,15,98,5.9,1.51,"23,381"
Death to Smoochy,2002,15,109,6.3,8.36,"42,091"
Club Paradise,1986,15,96,5.1,12.31,"6,734"
Moscow on the Hudson,1984,15,115,6.5,25.1,"12,795"
The Best of Times,1986,15,104,6,7.79,"7,963"
Jakob the Liar,1999,18,120,6.5,4.96,"17,840"
The Cut,2014,15,138,6.2,0.03,"7,896"
Rapture-Palooza,2013,12,85,5.2,2.46,"12,316"
Before I Disappear,2014,15,93,7.2,0.01,"9,973"
An Eye for Beauty,2014,15,102,5.5,2.46,"1,546"
Rams,2015,15,93,7.2,0.14,"14,974"
The Quiet Ones,2014,15,98,5.1,8.5,"20,948"
Deadpool,2016,15,108,8,363.07,"1,095,532"
Queen of the Desert,2015,15,128,5.7,2.46,"12,292"
The Trip to Italy,2014,15,108,6.6,2.87,"16,052"
A Second Chance,2014,15,102,6.8,2.46,"6,731"
Pride and Prejudice and Zombies,2016,12,108,5.8,10.91,"59,350"
Pandemic,2016,15,91,4.4,2.46,"8,402"
No Home Movie,2015,15,115,6.6,0.02,"1,062"
Copenhagen,2014,15,98,7,2.46,"13,735"
"Hail, Caesar!",2016,15,106,6.3,30.5,"141,016"
Cemetery of Splendour,2015,15,122,6.8,0.05,"5,287"
"Like Sunday, Like Rain",2014,15,104,6.9,0.03,"4,989"
Lullaby,2014,15,117,6.1,2.46,"2,817"
Listen Up Philip,2014,12,108,6.3,0.14,"6,887"
The Confirmation,2016,15,101,6.4,2.46,"7,154"
London Has Fallen,2016,15,99,5.9,62.68,"166,668"
The Overnight,2015,15,79,6.1,1.1,"17,439"
Sweet Bean,2015,15,113,7.4,0.12,"12,399"
Everything Is Copy,2015,15,89,7.4,2.46,"1,108"
Beyond Suspicion,2000,15,109,6.3,2.46,"1,714"
Kill Your Friends,2015,13,103,6,2.46,"9,940"
The Big White,2005,15,100,6.3,2.46,"14,991"
Nina,2016,15,90,5.4,2.46,"3,001"
Diplomacy,2014,15,84,7.1,0.23,"5,797"
Ned Rifle,2014,15,85,6.2,2.46,"1,706"
Precious Cargo,2016,15,90,4.6,2.46,"9,821"
The Invitation,2015,15,100,6.6,0.23,"116,955"
The Finest Hours,2016,15,117,6.7,27.57,"69,714"
Truman,2015,15,108,7.3,0.21,"13,718"
Louder Than Bombs,2015,15,109,6.6,0.16,"14,010"
Reprise,2006,15,105,7.3,0.55,"14,848"
The Forbidden Room,2015,15,130,6.1,0.03,"3,370"
Our Little Sister,2015,15,127,7.5,0.46,"16,399"
The Choice,2016,15,111,6.5,18.71,"44,638"
Phantom Halo,2014,15,87,5.1,2.46,977
Love Me Like You Do,2014,15,90,5.9,2.46,"4,630"
Sky,2015,15,100,5.8,2.46,"2,390"
One More Time,2015,12,98,5.1,2.46,"3,442"
Risen,2016,15,107,6.3,36.87,"30,022"
The Look of Silence,2014,15,103,8.3,0.11,"13,643"
Land of Mine,2015,15,100,7.8,0.44,"44,568"
The Trust,2016,15,92,5.4,2.46,"20,341"
Triple 9,2016,18,115,6.3,12.63,"75,439"
The Hundred Year-Old Man Who Climbed Out of the Window and Disappeared,2013,15,114,7,1.08,"42,143"
The Second Mother,2015,15,112,7.7,0.38,"16,290"
He Never Died,2015,18,99,6.3,2.46,"21,925"
Crazy About Tiffany's,2016,12,86,5.7,2.46,306
Mon Roi,2015,12,124,7.1,0.05,"13,896"
Courted,2015,15,98,6.6,2.46,"2,375"
The Treasure,2015,15,89,6.7,0.03,"3,174"
Hardcore Henry,2015,15,96,6.7,9.25,"100,288"
High-Rise,2015,15,119,5.5,0.34,"44,562"
True Deception,2015,12,87,5.2,0.01,"5,984"
Precinct Seven Five,2014,15,104,7.6,0.01,"6,175"
Creative Control,2015,15,97,5.4,0.06,"2,264"
My Golden Days,2015,15,123,6.7,0.27,"3,754"
Cell,2016,15,98,4.4,2.46,"29,873"
Race,2016,15,134,7.1,19.1,"40,110"
The Search for General Tso,2014,15,71,6.9,0.01,"1,807"
10 Cloverfield Lane,2016,15,103,7.2,72.08,"347,206"
Dirty Grandpa,2016,15,102,5.9,35.59,"130,805"
Midnight Special,2016,15,112,6.6,3.71,"83,250"
Allegiant,2016,15,120,5.7,66.18,"130,517"
Big Stone Gap,2014,15,103,5.7,1.01,"3,281"
Criminal,2016,15,113,6.3,14.27,"69,277"
Eddie the Eagle,2015,15,106,7.3,15.79,"98,526"
February,2015,15,93,5.9,0.02,"24,983"
The Artist,2011,15,100,7.9,44.67,"246,713"
Gods of Egypt,2016,15,127,5.4,31.15,"123,381"
Days and Nights,2014,15,92,4.6,0.01,"1,100"
The Mend,2014,15,111,5.6,2.46,869
Elvis & Nixon,2016,12,86,6.4,1.03,"14,881"
Miles Ahead,2015,15,100,6.4,2.61,"10,432"
The Family Fang,2015,15,105,6.1,0.24,"9,797"
The Farewell Party,2014,15,95,7,0.17,"2,221"
Money Monster,2016,15,98,6.5,41.01,"103,390"
Night on Earth,1991,15,129,7.7,2.02,"64,543"
Open Windows,2014,15,100,5.1,2.46,"14,962"
She's Lost Control,2014,15,90,5.2,0,"1,026"
Needful Things,1993,15,121,6.2,15.19,"26,946"
Me Before You,2016,15,110,7.4,56.25,"277,084"
The Purge: Election Year,2016,15,108,6,79.21,"107,836"
X-Men: Apocalypse,2016,15,144,6.9,155.44,"453,505"
Manhattan Night,2016,15,113,6.2,2.46,"13,583"
Born to Be Blue,2015,15,97,6.8,0.83,"9,141"
The Salt of the Earth,2014,15,110,8.4,1.34,"22,898"
Best of Enemies,2015,15,87,7.6,0.89,"6,451"
Mr. Right,2015,15,95,6.3,0.03,"59,448"
That Sugar Film,2014,12,90,7.4,2.46,"10,680"
The Lady in the Van,2015,12,104,6.7,10.02,"31,259"
Starter for 10,2006,15,92,6.7,0.21,"24,749"
The Liberator,2013,18,119,6.8,0.11,"5,505"
Tallulah,2016,15,111,6.7,2.46,"21,243"
Mother's Day,2016,15,118,5.6,32.46,"39,115"
Mothers and Daughters,2016,15,90,4.9,2.46,"3,260"
A Bigger Splash,2015,12,125,6.4,1.98,"32,125"
Miss Hokusai,2015,15,93,6.7,0.22,"3,435"
The Little Prince,2015,12,108,7.7,1.34,"65,409"
The Good Dinosaur,2015,15,93,6.7,123.09,"124,306"
Whiskey Tango Foxtrot,2016,15,112,6.6,23.05,"54,825"
The Man Who Knew Infinity,2015,15,108,7.2,3.87,"60,797"
The Duel,2016,15,110,5.8,0.06,"11,637"
Eye in the Sky,2015,18,102,7.3,18.7,"90,214"
Independence Day: Resurgence,2016,15,120,5.2,103.14,"186,340"
Rage,2016,15,88,5.2,2.46,"2,351"
The Colony,2015,15,110,7,2.46,"56,367"
Belgica,2016,12,127,6.7,2.46,"4,718"
Time Is Illmatic,2014,15,74,7,0.11,"3,305"
Equals,2015,15,101,6,0.03,"32,316"
Demolition,2015,15,101,7,1.98,"107,663"
Warcraft: The Beginning,2016,15,123,6.7,47.37,"274,518"
Red,2008,18,93,6.9,0,"12,486"
Batman v Superman: Dawn of Justice,2016,18,151,6.5,330.36,"742,599"
Life of a King,2013,15,100,6.9,0.01,"7,228"
Anesthesia,2015,15,90,6.1,0.02,"4,958"
Accidental Love,2015,15,100,4.1,2.46,"8,954"
A Perfect Man,2013,15,95,5.2,0,"2,183"
The Huntsman: Winter's War,2016,15,114,6.1,48.39,"117,120"
Five Nights in Maine,2015,15,82,4.9,0.02,916
American Ultra,2015,15,96,6.1,14.43,"94,850"
Pelé: Birth of a Legend,2016,15,107,7.1,0.03,"20,519"
Side by Side,2012,15,99,7.6,0.03,"13,655"
A Hologram for the King,2016,15,98,6.1,4.2,"46,915"
The Angry Birds Movie,2016,15,97,6.3,107.51,"100,931"
Septembers of Shiraz,2015,15,110,6.2,2.46,"5,705"
Marauders,2016,15,107,5.5,2.46,"23,530"
Genius,2016,15,104,6.5,1.36,"20,898"
Manglehorn,2014,15,97,5.5,0.13,"7,916"
Beloved Sisters,2014,15,138,6.2,0.05,"1,579"
Green Room,2015,18,95,7,3.22,"135,921"
"Hello, My Name Is Doris",2015,15,90,6.6,14.44,"22,306"
Ingrid Bergman: In Her Own Words,2015,15,114,7.4,0.14,"2,448"
Mr. Peabody & Sherman,2014,15,92,6.8,111.51,"76,105"
The Ones Below,2015,15,87,6.1,0.01,"10,942"
The American Side,2016,12,90,4.9,2.46,"2,252"
The Whole Truth,2016,12,93,6.2,2.46,"31,903"
Last Days in the Desert,2015,15,98,5.6,2.46,"4,379"
The Fundamentals of Caring,2016,15,97,7.3,2.46,"77,836"
Love & Friendship,2016,15,90,6.4,14.01,"26,057"
The Young Messiah,2016,13,111,5.7,6.46,"3,811"
The Culture High,2014,15,120,8.2,2.46,"3,731"
The Angriest Man in Brooklyn,2014,15,83,5.7,2.46,"23,694"
Into the Forest,2015,15,101,5.8,0.01,"21,871"
Approaching the Unknown,2016,15,90,4.9,2.46,"9,090"
The Nice Guys,2016,15,116,7.4,36.26,"358,748"
The Witch,2015,15,92,7,25.14,"289,517"
Seymour: An Introduction,2014,15,84,7.5,0.58,"1,135"
The Sea of Trees,2015,15,110,6.1,0.02,"17,347"
The Meddler,2015,18,103,6.3,4.27,"13,722"
Free State of Jones,2016,15,139,6.9,20.76,"61,072"
The Neon Demon,2016,18,117,6.1,1.33,"102,035"
Magician: The Astonishing Life and Work of Orson Welles,2014,15,91,6.9,0.02,961
Our Kind of Traitor,2016,18,108,6.2,3.15,"23,301"
Altamira,2016,18,97,6,2.46,"3,015"
Ithaca,2015,15,96,5.5,2.46,"3,068"
Cardboard Boxer,2016,15,88,6.3,2.46,"2,929"
The Childhood of a Leader,2015,15,115,6.1,2.46,"6,376"
Captain America: Civil War,2016,15,147,7.8,408.08,"831,755"
Bare,2015,15,90,5.1,2.46,"2,488"
De Palma,2015,15,110,7.4,0.16,"6,064"
The Land,2016,18,104,6.4,0.02,"1,840"
Blood Father,2016,15,88,6.4,2.46,"66,928"
Being Charlie,2015,12,97,6.2,0.01,"4,732"
Bolshoi Babylon,2015,15,86,6.3,2.46,442
Kingsglaive: Final Fantasy XV,2016,15,110,6.7,0.23,"22,837"
The Intervention,2016,18,90,6,0.03,"6,483"
The Aryan Couple,2004,15,120,6.4,2.46,"1,251"
Mechanic: Resurrection,2016,15,98,5.7,21.22,"90,912"
Transpecos,2016,15,86,5.8,2.46,"2,913"
Zoom,2015,12,96,6.1,2.46,"2,972"
Train to Busan,2016,12,118,7.6,2.13,"245,996"
The Shallows,2016,15,86,6.3,55.12,"141,258"
Pusher II,2004,15,100,7.3,2.46,"24,248"
Other People,2016,18,97,6.8,0.09,"12,323"
The Legend of Tarzan,2016,15,110,6.2,126.64,"184,314"
Jason Bourne,2016,15,123,6.6,162.43,"237,960"
Ishtar,1987,15,107,4.6,14.38,"11,658"
Neon Bull,2015,15,101,6.8,0.03,"3,418"
Hunt for the Wilderpeople,2016,12,101,7.8,5.2,"138,308"
Florence Foster Jenkins,2016,15,111,6.8,27.38,"58,644"
Despite the Falling Snow,2016,15,93,5.8,2.46,"3,423"
A Merry Christmas Miracle,2014,15,88,5.1,2.46,"7,742"
The World of Kanako,2014,15,118,6.5,0.02,"5,749"
Trash,2014,15,114,7.1,0.01,"22,578"
The Nut Job,2014,15,85,5.7,64.25,"29,778"
White God,2014,12,121,6.8,0.28,"16,915"
A Pigeon Sat on a Branch Reflecting on Existence,2014,12,101,6.9,0.22,"19,301"
Home,2015,15,94,6.5,177.4,"109,421"
Synchronicity,2015,12,101,5.4,0,"11,210"
The Infiltrator,2016,13,127,7,15.43,"77,479"
Anton Corbijn Inside Out,2012,15,85,7,2.46,555
108,2010,15,93,7.4,2.46,149
Tab Hunter Confidential,2015,15,90,7.6,2.46,"3,510"
37,2016,15,85,3.9,2.46,666
The Free World,2016,12,100,6.1,2.46,"2,035"
Mr. Church,2016,15,104,7.6,0.69,"30,643"
Anthropoid,2016,12,120,7.2,2.96,"52,631"
Picture Me: A Model's Diary,2009,15,82,6.2,0.01,549
Goldstone,2016,15,110,6.6,0.09,"6,138"
Palo Alto,2013,15,100,6.2,0.75,"30,728"
C.O.G.,2013,12,88,5.6,0.06,"3,871"
Sworn Virgin,2015,18,84,6.4,0,"1,223"
I.T.,2016,15,95,5.5,2.46,"16,709"
Amira & Sam,2014,15,90,6.2,0.03,"2,697"
Complete Unknown,2016,15,91,5.4,0.17,"6,465"
Norman Lear: Just Another Version of You,2016,12,91,7.3,0.07,462
Sausage Party,2016,12,89,6.1,97.69,"205,916"
For the Love of Spock,2016,12,111,7.6,0.08,"4,787"
Miss Peregrine's Home for Peculiar Children,2016,15,127,6.7,87.24,"184,368"
Captain Fantastic,2016,15,118,7.8,5.88,"230,155"
The Monster,2016,15,91,5.4,2.46,"18,944"
Come and Find Me,2016,12,112,5.7,2.46,"9,687"
Dog Eat Dog,2016,15,93,4.8,2.46,"9,456"
Sully,2016,15,96,7.4,125.07,"291,391"
Son of Saul,2015,18,107,7.4,1.78,"50,927"
Pete's Dragon,2016,12,102,6.7,76.23,"60,908"
To Life,2014,15,104,6.4,2.46,237
London Town,2016,15,92,6.4,2.46,"2,519"
The Last Ride,2011,15,102,5.8,2.46,870
Things to Come,2016,15,102,6.9,0.28,"14,517"
Divines,2016,15,105,7.4,2.46,"10,387"
Alice Through the Looking Glass,2016,15,113,6.2,77.04,"118,650"
Finding Dory,2016,15,97,7.2,486.3,"295,164"
Equity,2016,15,100,5.6,1.6,"3,819"
The Accountant,2016,15,128,7.3,86.26,"311,601"
I Saw the Light,2015,15,123,5.8,1.65,"8,059"
Ben-Hur,2016,15,123,5.7,26.41,"45,890"
Inferno,2016,12,121,6.2,34.34,"186,093"
Morgan,2016,15,92,5.8,3.91,"45,588"
A Five Star Life,2013,18,85,6.2,0.31,"2,574"
Exposed: Beyond Burlesque,2013,15,77,6.5,2.46,113
The Wailing,2016,15,156,7.4,2.46,"77,869"
Elle,2016,15,130,7.1,2.46,"70,084"
The Good Neighbor,2016,15,98,6.3,2.46,"17,975"
Denial,2016,15,109,6.8,4.07,"22,968"
Nerve,2016,15,96,6.5,38.58,"138,137"
Advantageous,2015,15,90,6.1,2.46,"5,868"
Ghostbusters,2016,15,117,6.8,128.34,"241,077"
Always Shine,2016,15,85,5.6,0.01,"5,440"
Suicide Squad,2016,15,123,5.9,325.1,"711,143"
Swiss Army Man,2016,15,97,6.9,4.21,"131,031"
A Monster with a Thousand Heads,2015,15,74,6.5,0.02,"1,156"
Indignation,2016,15,110,6.7,3.4,"12,508"
Too Late,2015,15,107,6.6,0.06,"3,844"
"Lo and Behold, Reveries of the Connected World",2016,15,98,7,0.59,"13,300"
Snowden,2016,12,134,7.3,21.59,"159,994"
Storks,2016,15,87,6.8,72.68,"66,143"
Kubo and the Two Strings,2016,12,101,7.7,48.02,"136,479"
The Secret Life of Pets,2016,15,87,6.5,368.38,"212,981"
Zootropolis,2016,15,108,8,341.27,"531,068"
The Jungle Book,2016,15,106,7.4,364,"287,881"
Trolls,2016,15,92,6.4,153.71,"88,637"
In a Valley of Violence,2016,15,104,6.1,0.05,"20,430"
Coldwater,2013,15,104,6.4,2.46,"4,386"
I Am the Pretty Thing That Lives in the House,2016,15,89,4.6,2.46,"15,601"
Front Cover,2015,15,87,6.5,0.03,"1,385"
The Great Gilly Hopkins,2015,15,99,6.5,2.46,"5,222"
Toni Erdmann,2016,15,162,7.3,1.48,"50,585"
Christine,2016,15,119,6.9,0.3,"16,508"
Sold,2014,12,94,6.8,2.46,"1,973"
Henry Gamble's Birthday Party,2015,15,87,6.1,2.46,"3,318"
Queen of Katwe,2016,15,124,7.4,8.81,"18,393"
Beyond the Lights,2014,15,116,6.8,14.62,"17,175"
August Winds,2014,15,77,6.3,2.46,607
The People vs. Fritz Bauer,2015,15,105,7.1,0.28,"6,042"
Aferim!,2015,15,108,7.6,0.1,"7,635"
Inside Out,2015,15,95,8.1,356.46,"761,041"
Iris,2014,15,79,7.1,1.31,"4,570"
The Crash,2017,12,84,4.2,2.46,"1,710"
Arrival,2016,15,116,7.9,100.55,"743,318"
Fantastic Beasts and Where to Find Them,2016,15,132,7.2,234.04,"497,645"
The Girl on the Train,2016,15,112,6.5,75.4,"196,007"
USS Indianapolis: Men of Courage,2016,12,128,5.3,2.46,"13,993"
The Handmaiden,2016,15,145,8.1,2.01,"165,167"
Being 17,2016,15,114,7.2,0.05,"7,096"
After Tiller,2013,15,85,7.4,0.07,"1,109"
Blackbird,2014,15,99,5.6,2.46,"1,115"
Virginia,2010,15,111,5.4,0.01,"2,337"
Liquid Sky,1982,18,112,6,2.46,"6,748"
While Paris Was Sleeping,2016,12,97,7,2.46,"3,749"
Trespass Against Us,2016,15,99,5.8,2.46,"8,881"
A Kind of Murder,2016,15,95,5.3,0,"8,454"
Hands of Stone,2016,15,111,6.6,4.71,"17,303"
Alone in Berlin,2016,18,103,6.5,2.46,"9,799"
Hacksaw Ridge,2016,15,139,8.1,67.21,"573,639"
Fire in the Sky,1993,12,109,6.5,20.1,"27,601"
The King's Choice,2016,15,133,7.1,0.11,"9,778"
After the Storm,2016,15,118,7.4,0.27,"12,373"
Outlaws and Angels,2016,18,120,5.4,2.46,"3,541"
Keeping Up with the Joneses,2016,15,105,5.9,14.9,"66,290"
In Bloom,2013,12,102,7.3,0.05,"7,057"
Little Men,2016,15,85,6.7,0.7,"7,721"
The Birth of a Nation,2016,15,120,6.5,15.86,"21,655"
Hidden Figures,2016,18,127,7.8,169.61,"247,892"
Nocturnal Animals,2016,15,116,7.5,10.66,"296,837"
Barry,2016,15,104,6,2.46,"7,595"
Cafe Society,2016,15,96,6.6,11.1,"80,182"
Southside with You,2016,15,84,6.3,6.3,"10,074"
Burn Country,2016,15,102,4.7,2.46,893
Moana,2016,15,107,7.6,248.76,"364,588"
Manchester by the Sea,2016,12,137,7.8,47.7,"302,797"
White Girl,2016,15,88,5.7,0.2,"11,530"
Silence,2016,12,161,7.2,7.1,"119,908"
American Honey,2016,15,163,7,0.66,"45,649"
Claire in Motion,2016,12,83,4.5,2.46,704
Miss Sloane,2016,12,132,7.5,3.5,"80,589"
The 9th Life of Louis Drax,2016,15,108,6.3,2.46,"15,030"
The Edge of Seventeen,2016,15,104,7.3,14.43,"137,191"
Bleed for This,2016,15,117,6.8,4.85,"29,122"
Shepherds and Butchers,2016,15,102,6.8,2.46,"3,046"
The Girl with All the Gifts,2016,12,111,6.6,2.46,"63,398"
Jack Reacher: Never Go Back,2016,15,118,6.1,58.7,"170,619"
Operation Avalanche,2016,15,94,6.1,0.06,"7,804"
The Autopsy of Jane Doe,2016,15,86,6.8,0.01,"133,482"
Billy Lynn's Long Halftime Walk,2016,15,113,6.2,1.74,"23,718"
Passengers,2016,15,116,7,100.01,"433,338"
Greater,2016,15,130,7.3,1.99,"7,114"
Like Crazy,2016,12,116,7.2,0.11,"10,184"
Lights Out,2016,15,81,6.3,67.27,"139,497"
All We Had,2016,12,105,5.9,2.46,"2,888"
Doctor Strange,2016,15,115,7.5,232.64,"785,811"
Lion,2016,15,118,8,51.74,"246,551"
Jackie,2016,12,100,6.7,13.96,"82,493"
The Founder,2016,15,115,7.2,12.79,"169,692"
The Hollow Point,2016,15,97,5.4,2.46,"6,068"
Deepwater Horizon,2016,15,107,7.1,61.43,"178,060"
Desierto,2015,15,88,6.1,1.83,"10,478"
In Another Country,2012,15,89,6.4,0.02,"3,476"
The Confessions,2016,15,108,6.1,2.46,"1,900"
The BFG,2016,15,117,6.3,55.48,"91,452"
The Automatic Hate,2015,15,97,6.3,0,"1,245"
The World Before Her,2012,15,90,7.6,2.46,853
Movie 43,2013,15,90,4.3,8.83,"110,520"
Time Out,2001,18,134,7.3,0.45,"4,934"
My Scientology Movie,2015,12,99,6.6,0.02,"13,409"
A Monster Calls,2016,15,108,7.4,3.74,"92,084"
Fire at Sea,2016,12,114,6.7,0.12,"6,011"
"Life, Animated",2016,15,92,7.4,0.26,"6,127"
Collateral Beauty,2016,15,97,6.8,31.02,"103,829"
A Single Shot,2013,15,116,5.7,0.01,"11,515"
Tanna,2015,15,104,6.9,0.01,"4,626"
Sing Street,2016,15,106,7.9,3.24,"99,163"
Assassin's Creed,2016,12,115,5.6,54.65,"206,127"
Aquarius,2016,15,146,7.4,0.29,"20,521"
Certain Women,2016,15,107,6.4,1.03,"14,773"
The Red Turtle,2016,15,80,7.5,0.92,"37,644"
Wheeler,2017,15,100,5.9,2.46,507
War on Everyone,2016,15,98,5.8,2.46,"20,047"
The Magnificent Seven,2016,15,132,6.9,93.43,"224,047"
The Salesman,2016,15,124,7.7,2.4,"63,634"
The Ardennes,2015,15,96,6.7,0.01,"5,509"
20th Century Women,2016,15,119,7.3,5.66,"48,389"
Underworld: Blood Wars,2016,15,91,5.7,30.35,"79,710"
Live by Night,2016,12,129,6.4,10.38,"59,182"
